C00041,C00062,C00064,C00065,C00073,C00078,C00079,C00082,C00135,C00152,C00188,C00219,C00245,C00257,C00294,C00299,C00327,C00791,C01586,C01762,Age
7871929.825,-4160175.439,-2485964.912,1321403.509,11277192.98,-82275438.6,29421052.63,290122.807,-6073684.211,-450000,2762105.263,307719.2982,17961403.51,426877.193,-692035.0877,995789.4737,410175.4386,16578947.37,53237192.98,162138.5965,0
-2228070.175,-2070175.439,-1985964.912,-118596.4912,-19722807.02,-56275438.6,-11578947.37,122.8070175,-2873684.211,-930000,-2227894.737,3047719.298,-6938596.491,-42122.80702,881964.9123,-214210.5263,190175.4386,-10421052.63,122337193,79138.59649,0
3671929.825,1759824.561,2514035.088,-28596.49123,45277192.98,41824561.4,23421052.63,240122.807,-2173684.211,580000,1012105.263,6247719.298,4461403.509,50877.19298,541964.9123,1085789.474,380175.4386,16578947.37,24337192.98,74138.59649,1
-28070.17544,159824.5614,1214035.088,-168596.4912,6277192.982,4824561.404,7421052.632,60122.80702,-4873684.211,200000,682105.2632,4447719.298,7061403.509,-68122.80702,3251964.912,-24210.52632,260175.4386,-9421052.632,-2162807.018,65138.59649,1
4971929.825,2459824.561,3814035.088,521403.5088,4277192.982,3824561.404,-1578947.368,-39877.19298,426315.7895,0,-47894.73684,-1222280.702,-6238596.491,177877.193,201964.9123,-624210.5263,170175.4386,-1421052.632,-12562807.02,-69861.40351,1
5571929.825,1359824.561,-285964.9123,-8596.491228,-4722807.018,-38175438.6,-3578947.368,-189877.193,7326315.789,-470000,-1277894.737,8147719.298,8661403.509,-120122.807,3261964.912,-664210.5263,320175.4386,-20421052.63,3137192.982,-20861.40351,0
-2228070.175,1659824.561,-985964.9123,391403.5088,58277192.98,51824561.4,31421052.63,340122.807,4426315.789,100000,352105.2632,1817719.298,-4338596.491,-178122.807,-282035.0877,655789.4737,-149824.5614,9578947.368,9637192.982,-60861.40351,1
13471929.82,2459824.561,3514035.088,721403.5088,36277192.98,45824561.4,35421052.63,520122.807,4326315.789,120000,2832105.263,-1262280.702,1361403.509,26877.19298,45964.91228,1095789.474,330175.4386,10578947.37,48637192.98,634138.5965,1
7171929.825,-2470175.439,-2285964.912,-1168596.491,15277192.98,9824561.404,12421052.63,320122.807,4726315.789,-240000,-697894.7368,687719.2982,-7138596.491,-18122.80702,-295035.0877,-844210.5263,-289824.5614,2578947.368,-8862807.018,-4861.403509,0
1571929.825,759824.5614,-785964.9123,-828596.4912,21277192.98,3824561.404,-1578947.368,-79877.19298,-2173684.211,-250000,642105.2632,-1162280.702,-6638596.491,-65122.80702,1721964.912,-1084210.526,270175.4386,-7421052.632,-9862807.018,52138.59649,0
10171929.82,7059824.561,-1385964.912,121403.5088,44277192.98,57824561.4,39421052.63,260122.807,-1073684.211,90000,42105.26316,1067719.298,-6338596.491,171877.193,281964.9123,305789.4737,-339824.5614,22578947.37,28137192.98,118138.5965,0
8471929.825,11259824.56,3514035.088,-288596.4912,31277192.98,-36275438.6,26421052.63,310122.807,9026315.789,670000,1102105.263,2197719.298,-8338596.491,466877.193,971964.9123,1715789.474,30175.4386,7578947.368,11137192.98,386138.5965,0
-4328070.175,4259824.561,-2185964.912,-408596.4912,37277192.98,824561.4035,22421052.63,120122.807,10726315.79,250000,-277894.7368,667719.2982,-14738596.49,119877.193,-339035.0877,-524210.5263,-289824.5614,-421052.6316,-8662807.018,-6861.403509,0
10271929.82,5159824.561,414035.0877,221403.5088,34277192.98,12824561.4,36421052.63,570122.807,5126315.789,190000,-267894.7368,-2132280.702,-2338596.491,456877.193,1081964.912,175789.4737,620175.4386,30578947.37,52137192.98,165138.5965,0
-6628070.175,-4470175.439,-585964.9123,-618596.4912,-20722807.02,-22375438.6,-23578947.37,-461877.193,-6073684.211,560000,-2087894.737,-3562280.702,-5238596.491,170877.193,-733035.0877,275789.4737,-359824.5614,-41421052.63,637192.9825,-80861.40351,1
2771929.825,-2940175.439,-685964.9123,61403.50877,-8722807.018,-12175438.6,17421052.63,220122.807,326315.7895,-210000,-17894.73684,207719.2982,14461403.51,-37122.80702,-843535.0877,-614210.5263,-69824.5614,14578947.37,-31712807.02,-114861.4035,0
671929.8246,-3790175.439,1014035.088,611403.5088,-4722807.018,-72175438.6,-16578947.37,-89877.19298,-8173684.211,140000,-957894.7368,2517719.298,30261403.51,-14122.80702,-763035.0877,-994210.5263,410175.4386,-3421052.632,-26562807.02,-43861.40351,1
-4128070.175,-1120175.439,-1085964.912,-578596.4912,1277192.982,-39675438.6,5421052.632,-39877.19298,-4473684.211,-840000,-1507894.737,3447719.298,15161403.51,77877.19298,-760035.0877,-84210.52632,130175.4386,13578947.37,-35002807.02,8138.596491,1
-9328070.175,-5310175.439,-3985964.912,-1128596.491,-79422807.02,-16175438.6,-45578947.37,-378877.193,-14573684.21,-690000,-1577894.737,307719.2982,-7538596.491,2877.192982,-704035.0877,-774210.5263,-409824.5614,578947.3684,-24562807.02,-142861.4035,0
-3128070.175,-5540175.439,914035.0877,161403.5088,-32722807.02,-44375438.6,-3578947.368,90122.80702,-4673684.211,-970000,462105.2632,-2662280.702,11561403.51,506877.193,-753035.0877,-394210.5263,380175.4386,10578947.37,-1362807.018,108138.5965,0
-8428070.175,-1680175.439,-3985964.912,-678596.4912,-31722807.02,-22175438.6,-15578947.37,-99877.19298,-273684.2105,-730000,-2147894.737,-2622280.702,-8938596.491,-247122.807,371964.9123,265789.4737,-239824.5614,-7421052.632,62337192.98,-13861.40351,0
-1528070.175,659824.5614,4214035.088,151403.5088,12277192.98,61824561.4,5421052.632,40122.80702,-2473684.211,600000,1022105.263,-212280.7018,-538596.4912,-1122.807018,-304035.0877,405789.4737,240175.4386,11578947.37,-10062807.02,40138.59649,1
-4728070.175,-540175.4386,-2285964.912,191403.5088,-22722807.02,24824561.4,-12578947.37,-179877.193,-6773684.211,-260000,-287894.7368,-772280.7018,-4138596.491,-74122.80702,-512035.0877,-894210.5263,-119824.5614,-8421052.632,-25062807.02,262138.5965,1
-3528070.175,2959824.561,4614035.088,341403.5088,-9722807.018,13824561.4,-3578947.368,-219877.193,-2373684.211,270000,542105.2632,-2762280.702,-7138596.491,-21122.80702,-596035.0877,-74210.52632,-159824.5614,3578947.368,-28962807.02,-154861.4035,1
-4528070.175,59824.5614,-4585964.912,101403.5088,-24722807.02,-14175438.6,-26578947.37,-339877.193,5426315.789,-260000,-1417894.737,687719.2982,-2538596.491,-211122.807,5051964.912,-984210.5263,-9824.561404,-34421052.63,-20562807.02,-58861.40351,0
-8528070.175,-1230175.439,-1985964.912,-58596.49123,13277192.98,70824561.4,15421052.63,122.8070175,5826315.789,-220000,-997894.7368,1957719.298,-4338596.491,-117122.807,-331035.0877,1775789.474,-259824.5614,8578947.368,-20162807.02,-57861.40351,1
2871929.825,1459824.561,614035.0877,111403.5088,1277192.982,37824561.4,5421052.632,270122.807,326315.7895,-110000,1702105.263,-1822280.702,-738596.4912,-111122.807,-524035.0877,-144210.5263,-109824.5614,8578947.368,-9862807.018,194138.5965,1
2271929.825,-640175.4386,-885964.9123,-1378596.491,1277192.982,22824561.4,2421052.632,430122.807,-573684.2105,-300000,-637894.7368,-1412280.702,-11438596.49,-101122.807,-636035.0877,-724210.5263,120175.4386,7578947.368,-24862807.02,-8861.403509,0
-2928070.175,659824.5614,-3285964.912,-558596.4912,-2722807.018,13824561.4,-10578947.37,-159877.193,-473684.2105,-10000,-37894.73684,-2692280.702,-8238596.491,-201122.807,-51035.08772,-744210.5263,210175.4386,-3421052.632,-22962807.02,65138.59649,0
471929.8246,1059824.561,-2085964.912,-238596.4912,11277192.98,49824561.4,10421052.63,40122.80702,-3973684.211,-400000,-397894.7368,-1452280.702,-6438596.491,-6122.807018,15964.91228,185789.4737,-159824.5614,19578947.37,-7062807.018,125138.5965,0
3471929.825,4959824.561,2314035.088,-1068596.491,3277192.982,-2175438.596,8421052.632,-29877.19298,9326315.789,200000,412105.2632,-832280.7018,-2538596.491,56877.19298,-385035.0877,815789.4737,-69824.5614,6578947.368,-21762807.02,109138.5965,0
-13228070.18,2659824.561,-285964.9123,-168596.4912,19277192.98,-39675438.6,9421052.632,-49877.19298,9426315.789,-210000,-1007894.737,3347719.298,-19538596.49,-10122.80702,-558035.0877,385789.4737,-89824.5614,-7421052.632,-21462807.02,-45861.40351,0
2771929.825,1559824.561,1814035.088,-758596.4912,1277192.982,-19075438.6,-1578947.368,200122.807,3526315.789,-150000,-1107894.737,1187719.298,-3338596.491,81877.19298,-146035.0877,-904210.5263,380175.4386,19578947.37,-9962807.018,57138.59649,0
