C00041,C00062,C00064,C00065,C00073,C00078,C00079,C00082,C00135,C00152,C00188,C00219,C00245,C00257,C00294,C00299,C00327,C00791,C01586,C01762,Age
-3208.456763,-35839.62306,-196733.0399,-1683.322616,-6696.59867,-635.9068736,-6515.994457,-74737.94568,73863.22949,-11381.69512,-2019.711752,-484506.6885,18958.89024,-12967.45676,768.5643016,-3475.543237,-3478.745011,-6424.258315,-4447.580931,-323.631929,0
11642.54324,-93698.62306,51607.46009,-1814.322616,-1465.59867,-16526.90687,-84017.99446,-79866.44568,-5258.77051,723.804878,-28578.71175,-83492.18847,-3336.609756,-59493.95676,-3086.935698,2305.456763,-2485.245011,-4510.758315,65750.91907,80.36807095,0
5259.043237,-52569.12306,-190620.5399,-385.8226164,-8373.59867,-21483.40687,-60327.49446,-98675.94568,-116848.2705,-12760.69512,-5310.711752,-584946.1885,4032.890244,-33780.45676,-2375.935698,352.4567627,-3234.745011,32034.74169,-88703.58093,-872.131929,0
-16962.45676,-74475.62306,-220227.0399,-4053.322616,-1140.59867,-48540.40687,-33475.49446,-66838.44568,85693.72949,-2591.195122,-23451.71175,-311525.6885,29081.39024,241984.0432,-1128.935698,22418.45676,-209.7450111,-5958.758315,401140.9191,1608.868071,0
4214.543237,5950.87694,-116008.0399,-12348.32262,10621.90133,202963.5931,56799.50554,153838.5543,-263.27051,-9468.695122,-16285.21175,-43122.18847,100084.3902,154613.5432,4280.564302,17074.45676,11803.25499,4471.741685,-65643.08093,2275.868071,0
40.04323725,-35867.12306,-252288.0399,-11186.32262,-11069.59867,-33134.90687,10675.00554,-143108.4457,-122122.7705,-10388.69512,-11920.21175,-370898.6885,20314.39024,-23442.45676,-3692.435698,-7667.043237,-15893.74501,4258.241685,174603.4191,-2376.131929,0
-8170.456763,-38920.12306,-310806.5399,-2213.822616,-9858.09867,-48948.90687,-63339.99446,-37610.94568,-81026.77051,-12441.19512,-10804.71175,-305487.1885,3999.390244,-1167.956763,-3465.935698,-16521.54324,3109.254989,-19422.75831,-89012.08093,-2051.631929,0
-4436.956763,27988.87694,-393527.0399,12733.67738,-6395.09867,108580.5931,-8712.994457,-74148.44568,2383.72949,-11150.69512,15612.78825,329568.3115,-26649.60976,-35316.95676,-1346.435698,-10436.54324,-10534.74501,12602.74169,-128751.5809,-2575.631929,0
1286.543237,-119607.1231,-205450.0399,-5100.822616,-6363.59867,-35306.90687,-101190.9945,-71546.94568,-172687.2705,-4939.195122,-20838.21175,-626868.6885,-43638.10976,14217.54324,-1576.435698,-12089.54324,-3059.245011,-7179.258315,-37436.08093,-1732.631929,1
-2265.456763,18719.87694,-236847.5399,677.6773836,-13593.59867,-20217.90687,-43960.49446,-122506.9457,203670.7295,-2865.695122,24778.28825,-51957.68847,-2931.609756,8442.043237,-897.9356984,-2722.043237,-3198.745011,-28391.75831,-100168.0809,-1959.631929,1
4624.543237,31683.87694,45098.46009,-4594.822616,6272.90133,37935.09313,49591.50554,35045.55432,63511.22949,4747.304878,13973.78825,4371.31153,37154.39024,-19500.45676,-729.9356984,-295.0432373,23971.75499,28365.24169,-64782.08093,-411.631929,1
-15596.95676,-74012.62306,-194319.5399,11547.67738,-4244.09867,-118524.9069,-78769.49446,-84700.44568,-137740.7705,-9308.195122,-22984.21175,-188703.1885,-8004.109756,66419.04324,-4606.935698,4321.456763,-3491.245011,10227.74169,224143.4191,2436.868071,0
-13414.95676,20099.37694,-85947.03991,-7141.822616,-7020.59867,-92079.90687,-70906.99446,-84505.94568,-40385.27051,-8616.695122,-18998.21175,45282.81153,-13823.60976,-30988.45676,-2137.935698,3995.956763,-7154.245011,-9108.258315,54375.41907,-683.631929,0
-4371.456763,-52737.62306,-193422.0399,13753.67738,-11360.09867,-82271.40687,-36991.99446,-42463.94568,-86896.77051,-872.695122,-10397.71175,107157.8115,-17667.60976,-16046.95676,-247.4356984,22660.45676,-6648.245011,26899.74169,1740060.419,4548.868071,0
